,EpisodeCount,InstanceUUID,StepCount,Time,Content[0],Content[1],Content[2],Content[3],Content[4],Content[5],Content[6],Content[7],Content[8],Content[9],Content[10],Content[11],Content[12],Content[13],Content[14],Content[15],Content[16],Content[17],Content[18],Content[19],Result[0],Method,Target_WinRate,Error_WinRate
30846,46,02b13f42-c709-43e9-833b-374c09f1f51d,40,2023-05-16 22:45:35.677,0,4,1,1,10,0,1,12.1644,0.5662936,1.005,1,1,1,0,0,0.8027898,0,0,1,0,0.2133333,Heuristic,0.3,0.0866666999999999
29688,45,fbecd319-dda7-4d92-b6ec-b084eb00966a,40,2023-05-16 22:27:46.980,0,1,1,1,10,0,1,15.78419,0.5832557,1.169546,1,1,1,0,0,0.8367778,0,0,1,0,0.4266667,Heuristic,0.3,0.1266667
30003,26,eca26cc3-57c4-4ba1-9527-6d76e04fc92a,40,2023-05-16 18:07:04.288,0,2,1,1,10,0,1,14.75717,0.5605858,1.105588,1,1,1,0,0,0.8015457,0,0,1,0,0.2966667,Heuristic,0.3,0.0033332999999999
30426,58,3f09d970-872a-4fde-9535-8e0046710c61,40,2023-05-17 02:46:39.735,0,9,1,1,10,0,1,13.42919,0.5461302,0.9646075,1,1,1,0,0,0.6307508,0,0,1,0,0.08333334,Heuristic,0.3,0.2166666599999999
30387,17,4228ae3d-29e4-44ad-a075-3a8c09069a5f,40,2023-05-16 15:10:06.839,0,1,1,1,10,0,1,13.46894,0.5518602,0.8547469,1,1,1,0,0,0.6880563,0,0,1,0,0.44,Heuristic,0.3,0.14
30410,42,3f09d970-872a-4fde-9535-8e0046710c61,40,2023-05-16 22:28:31.975,0,7,1,1,10,0,1,13.66667,0.5916667,1.155671,1,1,1,0,0,0.825447,0,0,1,0,0.1766667,Heuristic,0.3,0.1233332999999999
29777,24,fbecd319-dda7-4d92-b6ec-b084eb00966a,40,2023-05-16 16:59:27.348,0,0,1,1,10,0,1,6.702086,0.516011,0.5789787,1,1,1,0,0,0.6233768,0,0,1,0,0.29,Heuristic,0.3,0.01
30675,39,0f3acfd2-74bc-4273-be16-b6d81f04db6a,40,2023-05-16 21:44:03.048,0,2,1,1,10,0,1,13.97116,0.5483695,0.983092,1,1,1,0,0,0.7273929,0,0,1,0,0.27,Heuristic,0.3,0.0299999999999999
31159,18,e5af4479-d767-4fc5-a762-3e55c69df472,40,2023-05-16 15:47:19.048,0,5,1,1,10,0,1,4.324045,0.5,0.7824998,1,1,1,0,0,0.867723,0,0,1,0,0.2333333,Heuristic,0.3,0.0666667
31806,3,ac53e8e2-5161-49d8-a219-9fea049aa45f,40,2023-05-16 11:18:33.417,0,2,1,1,10,0,1,14.84162,0.5166667,1.07845,1,1,1,0,0,0.7088324,0,0,1,0,0.3566667,Heuristic,0.3,0.0566667
30283,19,4cf5f922-1b0f-41f9-b85f-ff97f18066c1,40,2023-05-16 16:08:34.460,0,8,1,1,10,0,1,16.72693,0.5283298,1.416667,1,1,1,0,0,0.8439982,0,0,1,0,0.2966667,Heuristic,0.3,0.0033332999999999
31784,18,b18308cc-4b8f-4852-8fb0-e8036c5e547f,40,2023-05-16 15:36:59.270,0,8,1,1,10,0,1,14.83175,0.5458996,0.7321944,1,1,1,0,0,0.5035629,0,0,1,0,0.2766667,Heuristic,0.3,0.0233333
30603,54,5c356d5b-a5cc-4b74-9ff4-a6036dce4472,40,2023-05-17 01:32:38.059,0,8,1,1,10,0,1,12.35481,0.5520695,0.9957206,1,1,1,0,0,0.7851668,0,0,1,0,0.2233333,Heuristic,0.3,0.0766666999999999
31101,4,22afd51c-adab-4e71-aad6-dc15fbb484a6,40,2023-05-16 12:08:47.382,0,5,1,1,10,0,1,8.924652,0.5,0.9776227,1,1,1,0,0,0.8881923,0,0,1,0,0.2366667,Heuristic,0.3,0.0633332999999999
30240,39,4228ae3d-29e4-44ad-a075-3a8c09069a5f,40,2023-05-16 21:05:51.651,0,3,1,1,10,0,1,14.71329,0.5083333,1.220129,1,1,1,0,0,0.9166563,0,0,1,0,0.3666667,Heuristic,0.3,0.0666667
29260,11,e69ab1a8-ed9c-44e3-bbfb-35ec692c259e,40,2023-05-16 14:01:37.149,0,0,1,1,10,0,1,8.138783,0.5,0.6976149,1,1,1,0,0,0.6666667,0,0,1,0,0.3833333,Heuristic,0.3,0.0833333
30453,11,6a2dbdab-ff87-4ace-aa58-5d92fe79d15d,40,2023-05-16 13:26:19.169,0,8,1,1,10,0,1,15.25,0.5542231,1.009467,1,1,1,0,0,0.6480668,0,0,1,0,0.31,Heuristic,0.3,0.01
29736,56,fb8ca3d3-cf0e-4762-8d12-b7444e6f0322,40,2023-05-17 01:59:32.646,0,9,1,1,10,0,1,11.4243,0.5333333,0.9669715,1,1,1,0,0,0.9166666,0,0,1,0,0.4533333,Heuristic,0.3,0.1533333
30143,40,f0af5c27-7d6e-4f63-bc20-f8223b2a1248,40,2023-05-16 21:12:25.818,0,0,1,1,10,0,1,6.549078,0.5833334,0.834995,1,1,1,0,0,0.8125643,0,0,1,0,0.3421927,Heuristic,0.3,0.0421927
30869,12,02b13f42-c709-43e9-833b-374c09f1f51d,40,2023-05-16 13:38:59.320,0,9,1,1,10,0,1,12.67175,0.542538,0.646092,1,1,1,0,0,0.5734661,0,0,1,0,0.5266666,Heuristic,0.3,0.2266666
31826,39,99de7991-349b-4739-820f-0e4426dec5dc,40,2023-05-16 21:25:48.674,0,4,1,1,10,0,1,7.386956,0.6,0.9612334,1,1,1,0,0,0.8944141,0,0,1,0,0.2066667,Heuristic,0.3,0.0933332999999999
